Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),Sunny
9021,2014,5,27,5.9,FALSE
9021,2014,5,28,9.5,FALSE
9021,2014,5,29,11.5,FALSE
9021,2014,5,30,12.2,FALSE
9021,2014,5,31,6,FALSE
9021,2014,6,1,10.5,FALSE
9021,2014,6,2,10.5,FALSE
9021,2014,6,3,9.6,FALSE
9021,2014,6,4,11.9,FALSE
9021,2014,6,5,12,FALSE
9021,2014,6,6,12.1,FALSE
9021,2014,6,7,8,FALSE
9021,2014,6,8,4.2,FALSE
9021,2014,6,9,8.6,FALSE
9021,2014,6,10,7.6,FALSE
9021,2014,6,11,10.9,FALSE
9021,2014,6,12,11.1,FALSE
9021,2014,6,13,11.4,FALSE
9021,2014,6,14,11.8,FALSE
9021,2014,6,15,11.8,FALSE
9021,2014,6,16,11.6,FALSE
9021,2014,6,17,2.3,FALSE
9021,2014,6,18,8.7,FALSE
9021,2014,6,19,6.7,FALSE
9021,2014,6,20,7.1,FALSE
9021,2014,6,21,7.4,FALSE
9021,2014,6,22,10.1,FALSE
9021,2014,6,23,11.4,FALSE
9021,2014,6,24,11.7,FALSE
9021,2014,6,25,11.8,FALSE
9021,2014,6,26,8.5,FALSE
9021,2014,6,27,11.6,FALSE
9021,2014,6,28,11.7,FALSE
9021,2014,6,29,7.6,FALSE
9021,2014,6,30,9.9,FALSE
9021,2014,7,1,7.1,FALSE
9021,2014,7,2,6,FALSE
9021,2014,7,3,12,FALSE
9021,2014,7,4,9.2,FALSE
9021,2014,7,5,11.5,FALSE
9021,2014,7,6,2.7,FALSE
9021,2014,7,7,5.8,FALSE
9021,2014,7,8,8.4,FALSE
9021,2014,7,9,10.2,FALSE
9021,2014,7,10,11.8,FALSE
9021,2014,7,11,10.4,FALSE
86282,2014,1,1,3.1,FALSE
86282,2014,1,2,29.4,TRUE
86282,2014,1,3,29,TRUE
86282,2014,1,4,16.3,TRUE
86282,2014,1,5,28.5,TRUE
86282,2014,1,6,19.5,TRUE
86282,2014,1,7,18.7,TRUE
86282,2014,1,8,32.9,TRUE
86282,2014,1,9,31.8,TRUE
86282,2014,1,10,30.2,TRUE
86282,2014,1,11,19.1,TRUE
86282,2014,1,12,26,TRUE
86282,2014,1,13,32.5,TRUE
86282,2014,1,14,31.2,TRUE
86282,2014,1,15,21.9,TRUE
86282,2014,1,16,23,TRUE
86282,2014,1,17,29.5,TRUE
86282,2014,1,18,19.7,TRUE
86282,2014,1,19,27.8,TRUE
86282,2014,1,20,18.5,TRUE
86282,2014,1,21,21.1,TRUE
86282,2014,1,22,31.6,TRUE
86282,2014,1,23,31,TRUE
86282,2014,1,24,11.3,FALSE
86282,2014,1,25,26.4,TRUE
86282,2014,1,26,31.4,TRUE
86282,2014,1,27,30.9,TRUE
86282,2014,1,28,29.6,TRUE
86282,2014,1,29,22.5,TRUE
86282,2014,1,30,28.4,TRUE
86282,2014,1,31,28.3,TRUE
86282,2014,2,1,29,TRUE
86282,2014,2,2,29.8,TRUE
86282,2014,2,3,10.5,FALSE
86282,2014,2,4,28.8,TRUE
86282,2014,2,5,28.7,TRUE
86282,2014,2,6,27.7,TRUE
86282,2014,2,7,25.3,TRUE
86282,2014,2,8,27.6,TRUE
86282,2014,2,9,26.8,TRUE
86282,2014,2,10,28.4,TRUE
86282,2014,2,11,25,TRUE
86282,2014,2,12,21.5,TRUE
86282,2014,2,13,7.1,FALSE
86282,2014,2,14,7.3,FALSE
86282,2014,2,15,10.1,FALSE
86282,2014,2,16,18,TRUE
86282,2014,2,17,25.7,TRUE
86282,2014,2,18,23.5,TRUE
86282,2014,2,19,15.6,TRUE
86282,2014,2,20,22.7,TRUE
86282,2014,2,21,17.2,TRUE
86282,2014,2,22,9.6,FALSE
86282,2014,2,23,26.4,TRUE
86282,2014,2,24,24.3,TRUE
86282,2014,2,25,17.4,TRUE
86282,2014,2,26,14.1,FALSE
86282,2014,2,27,19.4,TRUE
86282,2014,2,28,25.1,TRUE
86282,2014,3,1,12.1,FALSE
86282,2014,3,2,18.3,TRUE
86282,2014,3,3,23.5,TRUE
86282,2014,3,4,22.6,TRUE
86282,2014,3,5,3.2,FALSE
86282,2014,3,6,23,TRUE
86282,2014,3,7,10.5,FALSE
86282,2014,3,8,18.9,TRUE
86282,2014,3,9,22.5,TRUE
86282,2014,3,10,14.7,FALSE
86282,2014,3,11,4.4,FALSE
86282,2014,3,12,18.4,TRUE
86282,2014,3,13,21.3,TRUE
86282,2014,3,14,21.1,TRUE
86282,2014,3,15,6.5,FALSE
86282,2014,3,16,13.7,FALSE
86282,2014,3,17,10.5,FALSE
86282,2014,3,18,11.5,FALSE
86282,2014,3,19,20.2,TRUE
86282,2014,3,20,20.8,TRUE
86282,2014,3,21,11.7,FALSE
86282,2014,3,22,9.4,FALSE
86282,2014,3,23,7.1,FALSE
86282,2014,3,24,7.7,FALSE
86282,2014,3,25,15.6,TRUE
86282,2014,3,26,14.1,FALSE
86282,2014,3,27,8.1,FALSE
86282,2014,3,28,9.5,FALSE
86282,2014,3,29,16.1,TRUE
86282,2014,3,30,13.9,FALSE
86282,2014,3,31,17.4,TRUE
86282,2014,4,1,17.2,TRUE
